en,it,article
| Replaceable                               | injixo can replace the activity with plannable activities with staff requirements. This is required to {% link_new schedule meetings | features/scheduling/meetings/meetings-overview.md %} on this activity.                                                                                                               |,| Sostituibile                               | Consente a injixo di sostituire l’attività con attività pianificabili che hanno un fabbisogno di personale. Questa opzione è necessaria per {% link_new pianificare riunioni | features/scheduling/meetings/meetings-overview.md %} durante quest’attività.                                                                                                               |,activity-types-and-properties.md
"| Allow as full-day activity                | You can schedule the activity for a full day in Schedules or on the Full-Day Activities tab in the day view in Shift Center. If the activity is also configured as Paid, the employee is credited with the corresponding daily target according to the contract.<br>Required to allow employees to request the activity as full-day activity in injixo Me.   |","| Attività di un giorno intero                | Consente di pianificare l’attività per un’intera giornata (in Schedules o nella scheda Attività di giorno intero nel Centro dei turni). Se l’attività è configurata come Retribuita, al dipendente viene accreditato l’ammontare giornaliero in base al contratto.<br>Necessaria per consentire ai dipendenti di richiedere l’attività come attività di un giorno intero in injixo Me.   |",activity-types-and-properties.md
"| Can be a day status                                | Only available for full-day activities. Day status allows you to manually schedule the activity in the Shift Center as a day status on the Full-Day Activities tab. This preserves the replaced schedule entry for future reference. As a result, injixo excludes the people scheduled for an activity with this property from the coverage calculation but the original schedule entry remains visible. |","| Stato giornaliero                                | Disponibile solo per le attività di un giorno intero. Lo stato giornaliero permette di pianificare manualmente l’attività nel Centro dei turni come stato giornaliero nella scheda Attività di un giorno intero. La pianificazione sostituita viene salvata, e può essere consultata in seguito. Di conseguenza, injixo esclude dal calcolo della copertura i dipendenti pianificati per le attività con questa proprietà, ma la voce della pianificazione originale resta visibile. |",activity-types-and-properties.md
| Special handling in optimized scheduling | Only available for activities of the type Presence. Activities with this property can only be scheduled strictly as they are configured. The activities cannot be replaced and their duration is not flexible.<br>Learn more in the [dedicated section below](#special-handling-in-optimized-scheduling). |,"| Trattamento speciale nella pianificazione ottimizzata | Disponibile soltanto per le attività del tipo Presenza. Le attività con questa proprietà possono essere pianificate solo esattamente come sono configurate. Non possono essere sostituite e non hanno una durata flessibile.<br>Per saperne di più, vai alla [sezione seguente](#trattamento-speciale-nella-pianificazione-ottimizzata). |",activity-types-and-properties.md
## Special handling in optimized scheduling,## Trattamento speciale nella pianificazione ottimizzata,activity-types-and-properties.md
This activity property means that the Optimized scheduling functionality can only schedule the activity strictly as it is configured. This property is typically used for scheduling overtime or back-office activities.<br>,Questa proprietà permette alla funzionalità Crea una pianificazione ottimizzata di pianificare l’attività esclusivamente secondo la sua configurazione. Questa proprietà viene utilizzata generalmente per pianificare gli straordinari o le attività di back-office.<br>,activity-types-and-properties.md
There are two different use cases for this activity property:,Può essere utilizzata in due modi diversi:,activity-types-and-properties.md
"Option 1: The activity is part of a day model. In this case, the activity can only be scheduled for the configured duration and within the timeframe defined in the day model. The activity cannot be used to replace other replaceable activities. How Optimized scheduling handles the activity also depends on {% link_new how the activity is configured within the day model | features/administration/daymodels/daymodel-creation.md | #add-a-presence-or-absence-activity %}:","Opzione 1: l’attività fa parte di un modello di orario. In questo caso, l’attività può essere pianificata soltanto per la durata configurata e all’interno del periodo definito dal modello di orario. L’attività non può essere utilizzata per sostituire altre attività sostituibili. Il modo in cui l’attività viene trattata durante la pianificazione ottimizzata dipende anche dalla sua {% link_new configurazione all’interno del modello di orario | features/administration/daymodels/daymodel-creation.md | #aggiungere-unattività-del-tipo-presenza-o-assenza %}:",activity-types-and-properties.md
- Configured as fixed element: The schedule optimization will only schedule the activity for the exact time for which it is configured.,"- Attività configurata come elemento fisso: durante l’ottimizzazione della pianificazione, l’attività verrà pianificata per la durata esatta per cui è stata configurata.",activity-types-and-properties.md
- Configured as corridor element: The schedule optimization can move the activity within the defined corridor to optimize the coverage of other activities.,"- Attività configurata come elemento di corridoio: durante l’ottimizzazione della pianificazione, l’attività potrà essere spostata all’interno del corridoio definito per ottimizzare la copertura di altre attività.",activity-types-and-properties.md
Use example:,Esempio:,activity-types-and-properties.md
"- Add a back-office activity without staff requirements and with a duration of one hour to your day model. Optimized scheduling will schedule the activity for exactly one hour. If the activity is configured as a corridor element in the day model, the activity will be moved within the corridor to the time slot where it has the least impact on the coverage for other activities.","- Aggiungi un’attività di back office senza fabbisogno di personale e con la durata di un’ora al tuo modello di orario. Durante la pianificazione ottimizzata, l’attività verrà pianificata esattamente per un’ora. Se nel modello di orario è configurata come elemento di corridoio, l’attività verrà spostata all’interno del corridoio, nella fascia oraria che avrà l’impatto minore sulla copertura delle altre attività.",activity-types-and-properties.md
"Option 2: The activity is not part of a day model. In this case, Optimized scheduling cannot schedule the activity automatically, and cannot use it to replace other replaceable activities. The activity can only be scheduled manually.","Opzione 2: l’attività non fa parte di un modello di orario. In questo caso, la funzionalità Crea una pianificazione ottimizzata non pianificherà automaticamente l’attività, e non potrà usarla per sostituire delle attività sostituibili. L’attività potrà essere pianificata soltanto manualmente.",activity-types-and-properties.md
Use example:,Esempio:,activity-types-and-properties.md
"- Create an overtime activity that is not included in any day model. The Optimized schedule functionality will not schedule the activity and will not use it to replace replaceable activities. Add the activity to the schedule manually when necessary. In this use case, you always have complete control over when the activity is scheduled, for how long, and to whom it is assigned.","- Crea un’attività per lo straordinario che non fa parte di un modello di orario. La funzionalità Crea una pianificazione ottimizzata non pianificherà l’attività e non la utilizzerà per sostituire delle attività sostituibili. Aggiungi manualmente l’attività alla pianificazione se è necessario. Così facendo, puoi controllare quando l’attività viene pianificata e per quanto tempo, e a quali dipendenti viene assegnata.",activity-types-and-properties.md
> Note,> Nota,activity-types-and-properties.md
>,>,activity-types-and-properties.md
> This property is only available after you have created the activity.,> Questa proprietà è disponibile solo dopo aver creato l’attività.,activity-types-and-properties.md
## Subactivities,## Subattività,activity-types-and-properties.md
"You can assign activities to other activities. The activity to which activities are assigned becomes a multiactivity. The assigned activities are the subactivities of the multiactivity. Multiactivities allow you to schedule people with several skills when one of their skills is needed. In the list of activities, multiactivities are marked with an <em class=""multiactivity-icon""></em> icon.","È possibile assegnare delle attività ad altre attività. L’attività alla quale vengono assegnate altre attività diventa una multiattività. Le attività assegnate diventano le subattività della multiattività. Le multiattività permettono di pianificare dipendenti che hanno più di una qualifica quando una delle loro qualifiche è richiesta. Nell’elenco delle attività, le multiattività sono contrassegnate da un’icona con la lettera M: <em class=""multiactivity-icon""></em>.",activity-types-and-properties.md
The Create optimized schedules functionality can schedule multiactivities if you ensure the following:,"Per far sì che la funzionalità Crea una pianificazione ottimizzata possa pianificare le multiattività, porta a termine le azioni seguenti:",activity-types-and-properties.md
- Select the Presence type for the multiactivities and all subactivities.,- seleziona il tipo Presenza per le multiattività e tutte le subattività;,activity-types-and-properties.md
- Configure both multiactivities and subactivities as paid and plannable.,- configura sia le multiattività che le subattività come retribuite e pianificabili;,activity-types-and-properties.md
- Assign all subactivities (and the multiactivity in a second step) to your planning unit.,"- assegna tutte le subattività (e, in un secondo tempo, la multiattività) alla tua unità di pianificazione;",activity-types-and-properties.md
"- To control who can be scheduled, assign a different skill to each subactivity.","- per controllare quali dipendenti possono essere pianificati, assegna a ogni subattività una qualifica diversa;",activity-types-and-properties.md
"- (Optional) Assign a skill to the multiactivity. In this case, people must have this additional skill to perform the multiactivity. By default, the multiactivity itself does not require skills.","- (facoltativo) assegna una qualifica alla multiattività. In questo caso, i dipendenti dovranno avere questa qualifica aggiuntiva per poter svolgere la multiattività. Per impostazione predefinita, la multiattività di per sé non richiede nessuna qualifica.",activity-types-and-properties.md
> Note,> Nota,activity-types-and-properties.md
>,>,activity-types-and-properties.md
"> If you do not use the Create optimized schedules functionality but only run the job optimization, injixo can replace replaceable activities with multiactivities on the condition that a person can carry out at least one subactivity of the multiactivity.","> Se non utilizzi la funzionalità Crea una pianificazione ottimizzata, ma avvii solo l’ottimizzazione delle mansioni, injixo può sostituire le attività sostituibili con le multiattività soltanto se un dipendente può svolgere almeno una delle subattività assegnate alla multiattività.",activity-types-and-properties.md
Configure planning calendars,Configurare i calendari di pianificazione,configure-planning-calendars.md
Configure planning calendars to automatically adjust your standard business hours for days with different business hours.,Configura i calendari di pianificazione per adattare automaticamente gli orari di apertura standard ai giorni con orari di apertura diversi.,configure-planning-calendars.md
"In a planning calendar, you can use {% link_new day types | features/administration/day-types.md %} to mark days with special business hours or staffing needs (e.g. marketing campaign days or public holidays). This way, you can ensure these days are automatically considered during scheduling. If you add a day type to the planning calendar, it overwrites the standard business hours for that day. You can create different planning calendars for different planning units or regions, for example, if those have different opening hours or public holidays.","In un calendario pianificativo puoi utilizzare i {% link_new tipi di giorno | features/administration/day-types.md %} per contrassegnare i giorni con orari di apertura o con esigenze di personale diversi dal solito (per esempio i giorni con le campagne di marketing o i giorni festivi). In questo modo puoi far sì che questi giorni siano presi in considerazione automaticamente durante la pianificazione. Se aggiungi un tipo di giorno al calendario pianificativo gli orari di apertura standard per il giorno in questione verranno sovrascritti. È possibile creare diversi calendari pianificativi per le diverse unità di pianificazione o regioni, per esempio se hanno orari di apertura o giorni festivi diversi.",configure-planning-calendars.md
## Configure a planning calendar,## Configurare un calendario pianificativo,configure-planning-calendars.md
Prerequisite: You have created the relevant custom {% link_new day types | features/administration/day-types.md %} that you want to add to your planning calendar.,Prerequisito: Hai creato i {% link_new tipi di giorno | features/administration/day-types.md %} personalizzati che vuoi aggiungere al tuo calendario pianificativo.,configure-planning-calendars.md
1. Go to _Plan > Configuration > Planning calendar_{:.breadcrumbs}.,1. Vai su _Plan > Configurazione > Calendari di pianificazione_{:.breadcrumbs}.,configure-planning-calendars.md
"2. In the action bar, click the New icon {% icon item-add | icon-only %}.",2. Clicca sull’icona Nuovo {% icon item-add | icon-only %} nella barra delle azioni.,configure-planning-calendars.md
3. Configure the planning calendar:,3. Configura il calendario pianificativo:,configure-planning-calendars.md
"    - **Year**: Specify for which year you want to use the planning calendar.<br>To create a planning calendar that spans more than one year, for example, if you create schedules that span more than one year, use _<_{:.doc-button} and _>_{:.doc-button} to navigate to a past or future year. Then, configure each year's calendar separately.","    - **Anno**: specifica l’anno per cui vuoi utilizzare il calendario pianificativo.<br>Per creare un calendario pianificativo che si estende per più di un anno, per esempio se crei pianificazioni che si estendono per più di un anno, utilizza _<_{:.doc-button} e _>_{:.doc-button} per spostarti su un anno passato o futuro. In seguito, configura separatamente il calendario di ogni anno.",configure-planning-calendars.md
"    - **Calendar Template**: Select the public holiday region and click _Apply_{:.doc-button}.<br>The planning calendar is automatically filled with the public holidays of your selected region or country.<br>If you want to include more than one region in one planning calendar, repeat this step for every region you want to add.<br>Note: Each cell in the planning calendar can only contain one public holiday. If you select a template that includes a public holiday on the same day as a previously selected template, cells that already contain a public holiday entry are overwritten.","    - **Modello di calendario**: scegli il calendario dei festivi dello stato o della regione e clicca su _Applica_{:.doc-button}.<br>Nel calendario pianificativo compaiono automaticamente i giorni festivi dello stato o della regione selezionati.<br>Se in un calendario pianificativo vuoi includere diversi stati o regioni, ripeti questo passaggio per ogni stato o regione che vuoi aggiungere.<br>Nota: ogni cella del calendario pianificativo può contenere soltanto un giorno festivo. Se selezioni un modello che include un giorno festivo nello stesso giorno di un modello che avevi scelto precedentemente, le celle che contengono già un festivo verranno sovrascritte.",configure-planning-calendars.md
"    - **Insert Day Type**: From the drop-down menu, select the custom day type and click every calendar cell you want to add the day type to.<br>Note: You can only assign one day type per day. If you click a cell that already contains a day type, it is overwritten. If you want to include more than one custom day type in one planning calendar, repeat this step for every day type that you want to add.","    - **Inserimento di un tipo di giorno**: dal menu a tendina seleziona il tipo di giorno personalizzato e clicca su ogni cella del calendario in cui vuoi inserire il tipo di giorno.<br>Nota: puoi assegnare a ogni giorno soltanto un tipo di giorno. Se clicchi su una cella che contiene già un tipo di giorno, il contenuto della cella verrà sovrascritto. Se in un calendario pianificativo vuoi includere diversi tipi di giorno, ripeti questo passaggio per ogni tipo di giorno che vuoi aggiungere.",configure-planning-calendars.md
"4. In the action bar, click the Save as icon _![save as button](/assets/img/common/saveas.gif)_{:.doc-button-icon}.","4. Nella barra delle azioni, clicca sull’icona Salva con nome _![save as button](/assets/img/common/saveas.gif)_{:.doc-button-icon}.",configure-planning-calendars.md
"5. In the confirmation window, enter a name for the calendar and click _OK_{:.doc-button}.","5. Nella finestra che si apre, inserisci il nome del calendario e clicca su _OK_{:.doc-button}.",configure-planning-calendars.md
## Remove day types from the planning calendar,## Eliminare i tipi di giorno dal calendario pianificativo,configure-planning-calendars.md
"If your planning unit is closed on certain days and your people do not receive any holiday pay for those days, make sure that those days are not included in your planning calendar as {% link_new day types with holiday mode | features/administration/day-types.md | #holiday-mode %}. If you do not remove those day types from your planning calendar, injixo reduces the target working time for that week and people are scheduled for fewer hours. Learn more about how to {% link_new schedule public holidays | best-practices/scheduling-public-holidays.md | #closed-use-the-planning-calendar %}.","Se la tua unità di pianificazione è chiusa in determinati giorni e i dipendenti non ricevono un compenso per le festività in quei giorni, assicurati che quei giorni non siano inclusi nel calendario pianificativo come {% link_new tipi di giorno in modalità festività | features/administration/day-types.md | #modalità-festività %}. Se non elimini quei tipi di giorno dal calendario di pianificazione, injixo ridurrà il totale delle ore lavorative da svolgere per quella settimana, e i dipendenti verranno pianificati per un numero inferiore di ore. Scopri come {% link_new pianificare i giorni festivi | best-practices/scheduling-public-holidays.md | #closed-use-the-planning-calendar %}.",configure-planning-calendars.md
"To remove day types from the planning calendar, proceed as follows:","Per eliminare i tipi di giorno dal calendario di pianificazione, procedi come di seguito:",configure-planning-calendars.md
1. Go to _Plan > Configuration > Planning calendar_{:.breadcrumbs}.,1. Vai su _Plan > Configurazione > Calendari di pianificazione_{:.breadcrumbs}.,configure-planning-calendars.md
"2. To remove individual day types, click **Delete**.","2. Per eliminare singoli tipi di giorno, clicca su **Elimina**.",configure-planning-calendars.md
3. Click every cell in the planning calendar from which you want to remove the day type.,3. Clicca su ogni cella del calendario di pianificazione dalla quale vuoi eliminare il tipo di giorno.,configure-planning-calendars.md
"4. (Optional) To delete all entries in the calendar for the currently selected year, click _Clear Year_{:.doc-button}.","4. (Facoltativo) Per eliminare tutte le voci del calendario per l’anno selezionato, clicca su _Elimina anno_{:.doc-button}.",configure-planning-calendars.md
"5. (Optional) To delete all entries in the calendar for the entire time range, click _Delete All_{:.doc-button}.","5. (Facoltativo) Per eliminare tutte le voci del calendario per tutto il periodo, clicca su _Elimina tutto_{:.doc-button}.",configure-planning-calendars.md
5. Click the Save icon _![save button](/assets/img/common/save.gif)_{:.doc-button-icon}.,5. Clicca sull’icona Salva _![save button](/assets/img/common/save.gif)_{:.doc-button-icon}.,configure-planning-calendars.md
## Edit an existing planning calendar,## Modificare un calendario di pianificazione esistente,configure-planning-calendars.md
1. Go to _Plan > Configuration > Planning calendar_{:.breadcrumbs}.,1. Vai su _Plan > Configurazione > Calendari di pianificazione_{:.breadcrumbs}.,configure-planning-calendars.md
"2. From the **Calendar** drop-down menu in the action bar, select the calendar you want to edit.<br>If you want to copy a planning calendar before editing, for example to use the same template and day types but for a different year, click the Save as icon _![save as button](/assets/img/common/saveas.gif)_{:.doc-button-icon} in the action bar.","2. Dal menu a tendina **Calendario pianificativo** nella barra delle azioni seleziona il calendario che vuoi modificare.<br>Se vuoi fare una copia del calendario di pianificazione prima di modificarlo, per esempio per utilizzare lo stesso modello e gli stessi tipi di giorno per un anno diverso, clicca sull’icona Salva con nome _![save as button](/assets/img/common/saveas.gif)_{:.doc-button-icon} nella barra delle azioni.",configure-planning-calendars.md
"3. When you have completed your changes, click the Save icon _![save button](/assets/img/common/save.gif)_{:.doc-button-icon}.","3. Quando hai completato le modifiche, clicca sull’icona Salva _![save button](/assets/img/common/save.gif)_{:.doc-button-icon}.",configure-planning-calendars.md
## Use a planning calendar for scheduling,## Utilizzare un calendario di pianificazione per la pianificazione,configure-planning-calendars.md
"To use a planning calendar for scheduling, proceed as follows:","Per utilizzare un calendario di pianificazione per la pianificazione, procedi come di seguito:",configure-planning-calendars.md
1. Go to _Plan > Configuration > Planning units_{:.breadcrumbs}.,1. Vai su _Plan > Configurazione > Unità di pianificazione_{:.breadcrumbs}.,configure-planning-calendars.md
2. Select the planning unit to which you want to assign the planning calendar.,2. Seleziona l’unità di pianificazione alla quale vuoi aggiungere il calendario di pianificazione.,configure-planning-calendars.md
"2. In the **Planning Calendar** section, click the New icon {% icon item-add | icon-only %}.","2. Nella sezione **Calendari pianificativi**, clicca sull’icona Aggiungi {% icon item-add %}.",configure-planning-calendars.md
"3. In the **Planning Calendar** configuration window, select a planning calendar.<br>You can choose a single calendar that spans several years, for example if you create a schedule that exceeds one year. If you want to assign different planning calendars for each year, choose one calendar at a time and use the **Valid from** and **Valid To** fields to set the time period when it should be used. Note that single-year planning calendars only work for single-year schedules.","3. Nella finestra di configurazione **Calendari pianificativi,** seleziona un calendario pianificativo.<br>Puoi scegliere un calendario che si estende per diversi anni, per esempio se crei una pianificazione che si estende per più di un anno. Se vuoi assegnare un diverso calendario pianificativo per ogni anno, scegli un calendario alla volta e utilizza i campi **Validità dal** e **fino al** per impostare il periodo in cui il calendario deve essere utilizzato. Nota che i calendari pianificativi per un solo anno funzionano soltanto per le pianificazioni di un solo anno.",configure-planning-calendars.md
4. Click _OK_{:.doc-button},4. Clicca su _OK_{:.doc-button}.,configure-planning-calendars.md
> Note,> Nota,configure-planning-calendars.md
>,>,configure-planning-calendars.md
"> If your planning unit contains children planning units, the planning calendar is not automatically assigned to them. If required, assign the planning calendar manually to each child planning unit.","> Se l’unità di pianificazione contiene delle unità di pianificazione inferiori, il calendario pianificativo non verrà automaticamente assegnato alle unità di pianificazione inferiori. Se necessario, assegna manualmente il calendario pianificativo a ogni unità di pianificazione inferiore.",configure-planning-calendars.md
Create activities,Creare le attività,activities.md
Create activities to represent scheduled and unscheduled tasks in your company.,Crea attività per rappresentare i compiti pianificati e non pianificati nella tua organizzazione.,activities.md
"To create, edit and delete activities, go to _Plan > Configuration > Activities_{:.breadcrumbs}.","Per creare, modificare ed eliminare le attività, vai su _Plan > Configurazione > Attività_{:.breadcrumbs}.",activities.md
"Activities represent all tasks that are scheduled and reported on in your company, such as telephony, break, time off, or meetings. You can create as many activities as you want. The number of activities depends only on how many tasks you want to distinguish and the desired level of detail.","Le attività rappresentano i compiti che sono pianificati e inclusi nei report della tua organizzazione, come telefonate, chat, pause, permessi o riunioni. Puoi creare un numero di attività illimitato. Il numero di attività che creerai dipende dalla quantità di compiti che vuoi differenziare e dal livello di dettaglio desiderato.",activities.md
"Activities are an essential part of planning and scheduling in injixo. They are linked to other configuration items, e.g. to {% link_new planning units | features/administration/create-and-manage-planning-units.md | #add-activities %}, {% link_new day models | features/administration/daymodels/daymodel-basics.md %}. They are also part of the schedules managed in {% link_new Shift Center | features/scheduling/shiftcenter/add-and-delete-items.md %} or in {% link_new Schedules | features/scheduling/schedules/schedules-edit.md %}.","Le attività sono una parte essenziale della programmazione e della pianificazione in injixo. Sono collegate ad altri elementi della configurazione come, per esempio, le {% link_new unità di pianificazione | features/administration/create-and-manage-planning-units.md | #aggiungere-le-attività %} e i {% link_new modelli di orario | features/administration/daymodels/daymodel-basics.md %}. Sono anche incluse nelle pianificazioni gestite nel {% link_new Centro dei turni | features/scheduling/shiftcenter/add-and-delete-items.md %} e in {% link_new Schedules | features/scheduling/schedules/schedules-edit.md %}.",activities.md
injixo includes two pre-configured (non-deletable) activities:,injixo include due attività preconfigurate (non eliminabili):,activities.md
"- Present: This activity is used as a placeholder activity within day models. During scheduling, injixo replaces this activity with other activities that are configured as Plannable.","- Presente: questa attività viene utilizzata come attività segnaposto all'interno dei modelli di orario. Durante la pianificazione, injixo sostituisce questa attività con altre attività che sono configurate come pianificabili.",activities.md
- Vacation: This activity is used to schedule paid vacation based on a person’s vacation entitlement. Create unpaid time off as a separate activity.,- Ferie: questa attività viene utilizzata per pianificare permessi retribuiti in base ai permessi che spettano al dipendente. Per i permessi non retribuiti è necessario creare un’attività separata.,activities.md
## Create an activity,## Creare un’attività,activities.md
1. Click _New activity_{:.doc-button}.,1. Clicca su _Nuova attività_{:.doc-button}.,activities.md
2. Enter the general information for your activity:,2. Inserisci alcune informazioni di base per l’attività:,activities.md
   - **Name**: Unique name to describe your activity. The abbreviation will be automatically generated.,   - **Nome**: un nome unico che descrive l’attività. L’abbreviazione verrà generata automaticamente.,activities.md
   - **Type**: The activity type determines how injixo uses activities in scheduling and how they are displayed in other modules and reporting. Learn more about the different {% link_new activity types | features/administration/activity-types-and-properties.md | #activity-types %}.,   - **Tipo**: il tipo di attività determina il modo in cui injixo utilizza le attività nella pianificazione e il modo in cui vengono visualizzate in altri componenti e nei report. Scopri di più sui diversi {% link_new tipi di attività | features/administration/activity-types-and-properties.md | #tipi-di-attività %}.,activities.md
   - **Color**: The color appears in schedule and configuration data pages. It can help you identify different activities.,   - **Colore**: colore che verrà visualizzato nella pianificazione e nelle pagine dei dati di configurazione. Il colore ti permette di identificare facilmente le diverse attività.,activities.md
   - **Shortcut**: Optional keyboard shortcut to help you insert the activity more quickly in Shift Center. Learn more about {% link_new shortcuts | best-practices/tips-on-shift-center-usage.md | #tip-2-shortcuts-for-a-quick-assignment-of-activities %}.,   - **Comando di scelta rapida**: scorciatoia facoltativa che ti permette di inserire più velocemente l’attività nel Centro dei turni. Scopri di più sui {% link_new comandi di scelta rapida | best-practices/tips-on-shift-center-usage.md | #tip-2-shortcuts-for-a-quick-assignment-of-activities %}.,activities.md
   - **Official name and abbreviation**: Alternative name that can be used for internal reporting and integrations. injixo Me always displays the name entered under **Name**.,   - **Nome ufficiale** e **Abbreviazione ufficiale**: Nome alternativo che può essere utilizzato per i report interni e per le integrazioni. injixo Me mostra sempre il nome che inserisci nel campo **Nome**.,activities.md
3. Check one or more checkboxes to set different {% link_new activity properties | features/administration/activity-types-and-properties.md | #activity-properties %}.,3. Spunta una o più caselle per impostare le varie {% link_new proprietà delle attività | features/administration/activity-types-and-properties.md | #proprietà-delle-attività %}.,activities.md
"   If you check Plannable, you can edit the {% link_new importance value | best-practices/importance-for-activities.md %}.","   Se selezioni Pianificabile, puoi modificare il {% link_new valore dell’importanza | best-practices/importance-for-activities.md %}.",activities.md
"   If you check Replaceable, you can edit the {% link_new priority value | best-practices/priority-for-activities.md %}.","   Se selezioni Sostituibile, puoi modificare il {% link_new valore della priorità | best-practices/priority-for-activities.md %}.",activities.md
4. (Optional) {% link_new Assign skills | features/administration/work-with-skills.md | #assign-skills-to-activities %} to the activity.,4. (Facoltativo) {% link_new Aggiungi qualifiche | features/administration/work-with-skills.md | #assegnare-le-qualifiche-alle-attività %} all’attività.,activities.md
5. Click _Create activity_{:.doc-button}.,5. Clicca su _Crea attività_{:.doc-button}.,activities.md
Learn more about {% link_new activity types and properties | features/administration/activity-types-and-properties.md %}.,Scopri di più sui {% link_new tipi e le proprietà delle attività | features/administration/activity-types-and-properties.md %}.,activities.md
### Activity ID,### ID dell’attività,activities.md
"To see the ID of an activity, you can:","Per vedere l'ID di un'attività, puoi:",activities.md
- Click an activity in the **Activities** list. The URL on your browser bar shows the ID of the selected activity (e.g. https://www.injixo.com/plan/configuration/activities/1234).,- Cliccare su un’attività nell’elenco delle **Attività**. L'URL nella barra del browser include l'ID dell'attività selezionata (per esempio: https://www.injixo.com/plan/configuration/activities/1234).,activities.md
- Use the injixo API. Learn how to [manage activities through the injixo API](https://api.injixo.com/resources/schedules/activities).,- Utilizzare l’API di injixo. Scopri come [gestire le attività tramite l’API di injixo](https://api.injixo.com/resources/schedules/activities).,activities.md
## Multiactivities and subactivities,## Multiattività e subattività,activities.md
"Multiactivities allow you to schedule people with several skills when one of their skills is needed. You can turn an activity into a multiactivity by {% link_new assigning other activities | features/administration/activity-types-and-properties.md | #subactivities %} to it. The activities assigned become its subactivities. In the list of activities, multiactivities are marked with an <em class=""multiactivity-icon""></em> icon.","Le multiattività permettono di pianificare persone che hanno più di una qualifica quando una delle loro qualifiche è richiesta. È possibile trasformare un’attività in una multiattività {% link_new assegnandole altre attività | features/administration/activity-types-and-properties.md | #subattività %}. Le attività assegnate diventano le sue subattività. Nell’elenco delle attività, le multiattività sono contrassegnate da un’icona con la lettera M <em class=""multiactivity-icon"">.",activities.md
"If an activity is a subactivity, when you click it you can see the section **Multiactivities**, which displays all multiactivities it is assigned to.","Se un'attività è una subattività, quando la selezioni vedrai la sezione **Multiattività**, che comprende le multiattività alle quali è assegnata.",activities.md
"If an activity is not a subactivity, when you click it you can see the section **Subactivities**, where you can select other activities to be subactivities of the activity that you are editing. The activity itself would then become a multiactivity.","Se un’attività non è una subattività, quando la selezioni vedrai la sezione **Subattività**, dove puoi selezionare le attività da aggiungere come subattività all’attività che stai modificando. L'attività che stai modificando diventerà quindi una multiattività.",activities.md
You can only assign subactivities to an activity after you have created it.,È possibile assegnare subattività a un’attività soltanto dopo averla creata.,activities.md
## Map external statuses,## Sistemi esterni,activities.md
You can map external statuses from external systems (e.g. an ACD) to an activity in injixo.,Puoi mappare le attività che provengono dai sistemi esterni a un'attività in injixo.,activities.md
"The following procedure provides an overview of the configuration steps. For a more detailed explanation, go to {% link_new Map external statuses to activities | features/intraday/map-external-status.md %}.","1. Seleziona un'attività dall'elenco, scorri fino alla sezione **Sistemi esterni** e clicca su _Modifica in WFM_{:.doc-button}.",activities.md
"1. Select an activity from the list, scroll to the section **External statuses**, and click **Map external statuses in Intraday**.",2. Vai alla sezione **Sistemi esterni**.,activities.md
   injixo will redirect you to _Intraday > Configuration_{:.breadcrumbs}.,3. Clicca sull’{% icon item-add %}.,activities.md
2. Click the integration with the external system whose external statuses you want to map.,"4. Seleziona un **Sistema esterno**, una **Denominazione nel sistema esterno** e una **Classificazione** dai menu a tendina.",activities.md
"3. In the **External statuses** section, select all statuses that you want to map to your activity.",5. Clicca su _OK_{:.doc-button}.,activities.md
4. Click _Save changes_{:.doc-button}.,> È possibile assegnare l'attività di un sistema esterno solo una volta a una singola attività singola in injixo.,activities.md
## Duplicate an activity,## Duplicare un’attività,activities.md
"To create a new activity with the same general properties as an existing activity, follow these steps:","Per creare una nuova attività con le stesse proprietà generali di un’attività esistente, segui questi passaggi:",activities.md
"1. In the **Activities** list, select an activity.","1. Nell’elenco delle **Attività**, seleziona un’attività.",activities.md
2. Click **Duplicate activity** under the activity name.,2. Clicca su **Duplica attività** sotto il nome dell'attività.,activities.md
   A **Create new activity** window opens with pre-checked checkboxes. Assigned skills and subactivities are not duplicated.,   Si aprirà la finestra **Crea nuova attività** con opzioni già selezionate. Le competenze assegnate e le subattività non vengono duplicate.,activities.md
3. Enter a **Name** for the new activity.,3. Inserisci un **Nome** per la nuova attività.,activities.md
4. (Optional) Change the color and other properties.,4. (Facoltativo) Modifica il colore e le altre proprietà.,activities.md
5. Click _Create activity_{:.doc-button}.,5. Clicca su _Crea attività_{:.doc-button}.,activities.md
## Edit or delete an activity,## Modificare o eliminare un’attività,activities.md
"1. In the **Activities** list, select an activity.","1. Nell’elenco delle **Attività**, seleziona un’attività.",activities.md
"- To edit the activity, edit the information you want to change and click _Save changes_{:.doc-button}.","- Per modificare l’attività, modifica le informazioni che vuoi e clicca su _Salva modifiche_{:.doc-button}.",activities.md
"- To delete the activity, click _Delete activity_{:.doc-button} in the lower right.","- Per eliminare l’attività, clicca su _Elimina attività_{:.doc-button} in basso a destra.",activities.md
